,ME,no_mwu
536,100053120,99946880
537,100051880,99948120
538,100051320,99948680
539,100047360,99952640
540,100046240,99953760
541,100046720,99953280
542,100047480,99952520
543,100045640,99954360
544,100045240,99954760
545,100041040,99958960
546,100039680,99960320
547,100042720,99957280
548,100040800,99959200
549,100046920,99953080
550,100045640,99954360
551,100040360,99959640
552,100044400,99955600
553,100043800,99956200
554,100043560,99956440
555,100040360,99959640
556,100040840,99959160
557,100036720,99963280
558,100042080,99957920
559,100039280,99960720
560,100036920,99963080
561,100034880,99965120
562,100034960,99965040
563,100034280,99965720
564,100039960,99960040
565,100045280,99954720
566,100046000,99954000
567,100041240,99958760
568,100050480,99949520
569,100046360,99953640
570,100043600,99956400
571,100047680,99952320
572,100042080,99957920
573,100033320,99966680
574,100029440,99970560
575,100031080,99968920
576,100032200,99967800
577,100033480,99966520
578,100032040,99967960
579,100037880,99962120
580,100039640,99960360
581,100034800,99965200
582,100032880,99967120
583,100036280,99963720
584,100040200,99959800
585,100044120,99955880
586,100046280,99953720
587,100048560,99951440
588,100054640,99945360
589,100052040,99947960
590,100047080,99952920
591,100042800,99957200
592,100040760,99959240
593,100043680,99956320
594,100041360,99958640
595,100047400,99952600
596,100048120,99951880
597,100045800,99954200
598,100045160,99954840
599,100042000,99958000
600,100039520,99960480
601,100037480,99962520
602,100039760,99960240
603,100042240,99957760
604,100045360,99954640
605,100047600,99952400
606,100046120,99953880
607,100045120,99954880
608,100047400,99952600
609,100043160,99956840
610,100047320,99952680
611,100048440,99951560
612,100049600,99950400
613,100051440,99948560
614,100056120,99943880
615,100050160,99949840
616,100052080,99947920
617,100056480,99943520
618,100057760,99942240
619,100060920,99939080
620,100052440,99947560
621,100056640,99943360
622,100055040,99944960
623,100054080,99945920
624,100048920,99951080
625,100046000,99954000
626,100044400,99955600
627,100044280,99955720
628,100047880,99952120
629,100043520,99956480
630,100042640,99957360
631,100044680,99955320
632,100041840,99958160
633,100048280,99951720
634,100053760,99946240
635,100048800,99951200
636,100051080,99948920
637,100051880,99948120
638,100049760,99950240
639,100049560,99950440
640,100049240,99950760
641,100046720,99953280
642,100046080,99953920
643,100049480,99950520
644,100049120,99950880
645,100045440,99954560
646,100040800,99959200
647,100035120,99964880
648,100036040,99963960
649,100041480,99958520
650,100044080,99955920
651,100042880,99957120
652,100043920,99956080
653,100045800,99954200
654,100043200,99956800
655,100040080,99959920
656,100038480,99961520
657,100039040,99960960
658,100041600,99958400
659,100035640,99964360
660,100043040,99956960
661,100042000,99958000
662,100040400,99959600
663,100038360,99961640
664,100043640,99956360
665,100042680,99957320
666,100041080,99958920
667,100037360,99962640
668,100039280,99960720
669,100038080,99961920
670,100037120,99962880
671,100034200,99965800
672,100029640,99970360
673,100027000,99973000
674,100025880,99974120
675,100027680,99972320
676,100024400,99975600
677,100024280,99975720
678,100025720,99974280
679,100017680,99982320
680,100016920,99983080
681,100019960,99980040
682,100013360,99986640
683,100013880,99986120
684,100017440,99982560
685,100018760,99981240
686,100012120,99987880
687,100013320,99986680
688,100011080,99988920
689,100008360,99991640
690,100011360,99988640
691,100012560,99987440
692,100006440,99993560
693,100008840,99991160
694,100004720,99995280
695,99998400,100001600
696,99999800,100000200
697,99998040,100001960
698,99999960,100000040
699,100011120,99988880
700,100010760,99989240
701,100014160,99985840
702,100014400,99985600
703,100015840,99984160
704,100011360,99988640
705,100013640,99986360
706,100018600,99981400
707,100015640,99984360
708,100014200,99985800
709,100008520,99991480
710,100008720,99991280
711,100009440,99990560
712,100010480,99989520
713,100016440,99983560
714,100013920,99986080
715,100017720,99982280
716,100016880,99983120
717,100015760,99984240
718,100009400,99990600
719,100009680,99990320
720,100006560,99993440
721,100008320,99991680
722,100007840,99992160
723,100009840,99990160
724,100012640,99987360
725,100010320,99989680
726,100013480,99986520
727,100011920,99988080
728,100011520,99988480
729,100011440,99988560
730,100011400,99988600
731,100010800,99989200
732,100008720,99991280
733,100009640,99990360
734,100008560,99991440
735,100009040,99990960
736,100008480,99991520
737,100009680,99990320
738,100012840,99987160
739,100014080,99985920
740,100016720,99983280
741,100016080,99983920
742,100019720,99980280
743,100015880,99984120
744,100012120,99987880
745,100015360,99984640
746,100013520,99986480
747,100014200,99985800
748,100015600,99984400
749,100018920,99981080
750,100019160,99980840
751,100013520,99986480
752,100014120,99985880
753,100013560,99986440
754,100015040,99984960
755,100016320,99983680
756,100013760,99986240
757,100008680,99991320
758,100007920,99992080
759,100005840,99994160
760,100004800,99995200
761,100007680,99992320
762,100005120,99994880
763,100004240,99995760
764,100006240,99993760
765,100008720,99991280
766,100003520,99996480
767,100008720,99991280
768,100004800,99995200
769,100001520,99998480
770,99997200,100002800
771,99993600,100006400
772,99992880,100007120
773,99991840,100008160
774,99989840,100010160
775,99989840,100010160
776,99992680,100007320
777,99991400,100008600
778,99987280,100012720
779,99987240,100012760
780,99988400,100011600
781,99991400,100008600
782,99997560,100002440
783,99997360,100002640
784,99992160,100007840
785,99991240,100008760
786,99993840,100006160
787,99992480,100007520
788,99990360,100009640
789,99988920,100011080
790,99982440,100017560
791,99978160,100021840
792,99982000,100018000
793,99985880,100014120
794,99982280,100017720
795,99984160,100015840
796,99982200,100017800
797,99978720,100021280
798,99982960,100017040
799,99984400,100015600
800,99984160,100015840
801,99981400,100018600
802,99983160,100016840
803,99984000,100016000
804,99979000,100021000
805,99974280,100025720
806,99976040,100023960
807,99977400,100022600
808,99973040,100026960
809,99972040,100027960
810,99974720,100025280
811,99977080,100022920
812,99978240,100021760
813,99977040,100022960
814,99974320,100025680
815,99978800,100021200
816,99974040,100025960
817,99972440,100027560
818,99970680,100029320
819,99973520,100026480
820,99977240,100022760
821,99975840,100024160
822,99977120,100022880
823,99975200,100024800
824,99972400,100027600
825,99974840,100025160
826,99977600,100022400
827,99975800,100024200
828,99971320,100028680
829,99969120,100030880
830,99960040,100039960
831,99960320,100039680
832,99956160,100043840
833,99950480,100049520
834,99951360,100048640
835,99951120,100048880
836,99954200,100045800
